z,k_s_per_km,p1d_kms,e_stat_kms,e_syst_kms,e_total_kms,pfid_kms
2.8000,0.00575000,26.47300837,0.30612823,0.19756210,0.36434225,25.94625600
2.8000,0.00625000,23.90968739,0.29715216,0.20349183,0.36015043,24.98003900
2.8000,0.00675000,21.57630593,0.28878142,0.21106688,0.35769252,24.06520200
2.8000,0.00725000,20.71444176,0.28138225,0.22000212,0.35717910,23.19781520
2.8000,0.00775000,22.09974610,0.27460643,0.23005620,0.35823811,22.37449050
2.8000,0.00825000,21.56901393,0.26814634,0.24103573,0.36055607,21.59266410
2.8000,0.00875000,20.66179636,0.26175923,0.25276309,0.36387783,20.84925000
2.8000,0.00925000,18.44353577,0.25564078,0.44719359,0.51510612,20.14128910
2.8000,0.00975000,18.48557464,0.25001448,0.42347936,0.49177435,19.46645070
2.8000,0.01025000,17.87748442,0.24500910,0.41889114,0.48528265,18.82237840
2.8000,0.01075000,17.21142565,0.24028178,0.30455904,0.38793239,18.20704040
2.8000,0.01125000,17.64103118,0.23565852,0.31825512,0.39600665,17.61862980
2.8000,0.01175000,16.22361486,0.23108802,0.33210672,0.40459430,17.05525820
2.8000,0.01225000,15.04390711,0.22678101,0.34606235,0.41374965,16.51547000
2.8000,0.01275000,14.41364883,0.22275636,0.36020624,0.42351969,15.99790830
2.8000,0.01325000,14.73626409,0.21905362,0.37411956,0.43353193,15.50117370
2.8000,0.01375000,14.49690430,0.21543165,0.38815157,0.44392841,15.02408190
2.8000,0.01425000,13.96460422,0.21189100,0.40214761,0.45455528,14.56562570
2.8000,0.01475000,12.91510444,0.20849612,0.41608469,0.46539993,14.12479560
2.8000,0.01525000,12.66532617,0.20544776,0.42994319,0.47650805,13.70064200
2.8000,0.01575000,12.15589218,0.20277603,0.44370663,0.48784597,13.29236060
2.8000,0.01625000,12.40618395,0.20031295,0.45744175,0.49937785,12.89918320
2.8000,0.01675000,12.29931262,0.19799208,0.47089097,0.51082205,12.52037460
2.8000,0.01725000,12.02374260,0.19567323,0.48428914,0.52232556,12.15527940
2.8000,0.01775000,10.91438420,0.19343904,0.49782724,0.53408859,11.80325700
2.8000,0.01825000,10.77157280,0.19146049,0.51065274,0.54536533,11.46374840
2.8000,0.01875000,10.87591437,0.18978717,0.52360432,0.55693865,11.13625020
2.8000,0.01925000,10.44325011,0.18827631,0.53639521,0.56847849,10.82019430
2.8000,0.01975000,10.35179061,0.18681567,0.54902054,0.57993417,10.51512950
2.8000,0.02025000,9.81000617,0.18552550,0.56147698,0.59133418,10.22063890
2.8000,0.02075000,9.58311866,0.18439116,0.57403171,0.60291998,9.93628310
2.8000,0.02125000,9.76712021,0.18352780,0.58587285,0.61394580,9.66166090
2.8000,0.02175000,9.19962204,0.18285450,0.59780799,0.62514811,9.39640470
2.8000,0.02225000,9.04912492,0.18237129,0.60956615,0.63626267,9.14017080
2.8000,0.02275000,8.76290723,0.18202256,0.62114654,0.64726751,8.89261040
2.8000,0.02325000,8.32539595,0.18185743,0.63254891,0.65817190,8.65341300
2.8000,0.02375000,8.42321474,0.18161296,0.64406857,0.66918428,8.42226050
2.8000,0.02425000,7.82910109,0.18158689,0.65498194,0.67968753,8.19888340
2.8000,0.02475000,8.18596115,0.18170121,0.66568885,0.69004129,7.98300940
2.8000,0.02525000,8.03573440,0.18191033,0.67646584,0.70049797,7.77434810
2.8000,0.02575000,7.69851990,0.18226183,0.68689856,0.71066800,7.57265770
2.8000,0.02625000,7.99110930,0.18263491,0.69757105,0.72108313,7.37771810
2.8000,0.02675000,7.18977954,0.18307010,0.70856043,0.73182822,7.18928680
